administrative_area_level_2,date,confirmed,deaths,tests,hosp
Minnesota,2020-04-01,973.0,17,22853,54.0
Minnesota,2020-04-02,1056.0,18,24836,75.0
Minnesota,2020-04-03,1119.0,22,26182,86.0
Minnesota,2020-04-04,1158.0,24,27845,95.0
Minnesota,2020-04-05,1217.0,29,29307,106.0
Minnesota,2020-04-06,1330.0,30,30485,115.0
Minnesota,2020-04-07,1432.0,34,32035,120.0
Minnesota,2020-04-08,1534.0,39,33488,135.0
Minnesota,2020-04-09,1637.0,50,35319,145.0
Minnesota,2020-04-10,1732.0,57,37078,143.0
Minnesota,2020-04-11,1806.0,64,38704,145.0
Minnesota,2020-04-12,1864.0,70,39894,157.0
Minnesota,2020-04-13,2012.0,70,40679,157.0
Minnesota,2020-04-14,2165.0,79,41870,177.0
Minnesota,2020-04-15,2321.0,87,43566,197.0
Minnesota,2020-04-16,2486.0,94,45022,213.0
Minnesota,2020-04-17,2668.0,111,46488,223.0
Minnesota,2020-04-18,2788.0,121,47970,239.0
Minnesota,2020-04-19,2914.0,134,49202,228.0
Minnesota,2020-04-20,3190.0,143,50044,237.0
Minnesota,2020-04-21,3452.0,160,51793,237.0
Minnesota,2020-04-22,3758.0,179,53923,240.0
Minnesota,2020-04-23,4270.0,200,56414,268.0
Minnesota,2020-04-24,4788.0,221,59494,278.0
Minnesota,2020-04-25,5127.0,244,62109,288.0
Minnesota,2020-04-26,5512.0,272,64673,285.0
Minnesota,2020-04-27,6187.0,286,66690,292.0
Minnesota,2020-04-28,6788.0,301,70036,314.0
Minnesota,2020-04-29,7468.0,319,77118,320.0
Minnesota,2020-04-30,8116.0,343,81465,365.0
Minnesota,2020-05-01,8736.0,371,85950,369.0
Minnesota,2020-05-02,9071.0,395,89680,389.0
Minnesota,2020-05-03,9411.0,419,92844,373.0
Minnesota,2020-05-04,10235.0,428,96912,396.0
Minnesota,2020-05-05,10876.0,455,100078,434.0
Minnesota,2020-05-06,11510.0,485,104557,443.0
Minnesota,2020-05-07,12328.0,508,109572,435.0
Minnesota,2020-05-08,13040.0,534,114448,473.0
Minnesota,2020-05-09,13321.0,558,119361,476.0
Minnesota,2020-05-10,13552.0,578,124661,434.0
Minnesota,2020-05-11,14379.0,591,129964,452.0
Minnesota,2020-05-12,15043.0,614,133977,496.0
Minnesota,2020-05-13,15772.0,638,141274,494.0
Minnesota,2020-05-14,16565.0,663,148008,498.0
Minnesota,2020-05-15,17363.0,692,157136,498.0
Minnesota,2020-05-16,17705.0,709,165104,493.0
Minnesota,2020-05-17,18016.0,731,171085,487.0
Minnesota,2020-05-18,18987.0,740,177474,488.0
Minnesota,2020-05-19,19842.0,757,183851,545.0
Minnesota,2020-05-20,20609.0,786,190808,550.0
Minnesota,2020-05-21,21582.0,818,199088,566.0
Minnesota,2020-05-22,22374.0,851,208810,534.0
Minnesota,2020-05-23,22765.0,861,217706,568.0
Minnesota,2020-05-24,23121.0,878,224687,553.0
Minnesota,2020-05-25,23524.0,890,231340,605.0
Minnesota,2020-05-26,24308.0,908,238282,570.0
Minnesota,2020-05-27,24988.0,942,247809,598.0
Minnesota,2020-05-28,25559.0,977,257754,606.0
Minnesota,2020-05-29,26013.0,1006,268137,592.0
Minnesota,2020-05-30,26181.0,1036,276573,589.0
Minnesota,2020-05-31,26322.0,1050,283455,555.0
Minnesota,2020-06-01,26897.0,1060,287636,549.0
Minnesota,2020-06-02,27376.0,1082,295307,537.0
Minnesota,2020-06-03,27889.0,1097,311208,537.0
Minnesota,2020-06-04,28290.0,1126,322148,512.0
Minnesota,2020-06-05,28688.0,1159,333185,478.0
Minnesota,2020-06-06,28853.0,1181,343597,473.0
Minnesota,2020-06-07,28988.0,1197,353141,450.0
Minnesota,2020-06-08,29436.0,1208,360912,452.0
Minnesota,2020-06-09,29866.0,1228,369793,455.0
Minnesota,2020-06-10,30199.0,1267,381833,427.0
Minnesota,2020-06-11,30418.0,1280,395234,411.0
Minnesota,2020-06-12,30463.0,1305,408052,403.0
Minnesota,2020-06-13,30465.0,1314,417710,390.0
Minnesota,2020-06-14,30471.0,1329,417710,369.0
Minnesota,2020-06-15,30693.0,1335,422922,353.0
Minnesota,2020-06-16,30882.0,1344,429145,357.0
Minnesota,2020-06-17,31296.0,1357,448587,351.0
Minnesota,2020-06-18,31675.0,1376,460879,345.0
Minnesota,2020-06-19,32031.0,1393,475152,339.0
Minnesota,2020-06-20,32467.0,1404,492043,324.0
Minnesota,2020-06-21,32920.0,1412,504363,322.0
Minnesota,2020-06-22,33227.0,1416,513137,332.0
Minnesota,2020-06-23,33469.0,1425,520045,339.0
Minnesota,2020-06-24,33763.0,1432,529643,340.0
Minnesota,2020-06-25,34123.0,1441,542696,336.0
Minnesota,2020-06-26,34616.0,1446,557278,335.0
Minnesota,2020-06-27,35033.0,1452,568907,300.0
Minnesota,2020-06-28,35549.0,1460,585417,288.0
Minnesota,2020-06-29,35861.0,1470,592955,278.0
Minnesota,2020-06-30,36303.0,1476,605316,270.0
Minnesota,2020-07-01,36716.0,1482,617107,260.0
Minnesota,2020-07-02,37210.0,1495,630427,274.0
Minnesota,2020-07-03,37624.0,1503,645172,270.0
Minnesota,2020-07-04,37624.0,1503,645172,270.0
Minnesota,2020-07-05,38136.0,1508,674015,253.0
Minnesota,2020-07-06,38569.0,1511,679693,258.0
Minnesota,2020-07-07,39133.0,1514,685247,267.0
Minnesota,2020-07-08,39589.0,1523,692970,265.0
Minnesota,2020-07-09,40163.0,1528,705440,251.0
Minnesota,2020-07-10,40767.0,1533,725825,227.0
California,2020-04-01,8155.0,171,29927,1855.0
California,2020-04-02,9191.0,203,33000,1922.0
California,2020-04-03,10701.0,237,35300,2188.0
California,2020-04-04,12026.0,276,113700,2300.0
California,2020-04-05,13438.0,319,116533,2398.0
California,2020-04-06,14336.0,343,117431,2509.0
California,2020-04-07,15865.0,374,131229,2611.0
California,2020-04-08,16957.0,442,144264,2714.0
California,2020-04-09,18309.0,492,163500,2825.0
California,2020-04-10,19472.0,541,164863,2897.0
California,2020-04-11,20615.0,609,173219,5236.0
California,2020-04-12,21794.0,651,190328,5234.0
California,2020-04-13,22348.0,687,190882,3015.0
California,2020-04-14,23338.0,758,202208,5163.0
California,2020-04-15,24424.0,821,216486,5163.0
California,2020-04-16,26182.0,890,246400,5031.0
California,2020-04-17,27528.0,985,251614,4892.0
California,2020-04-18,28963.0,1072,259666,4936.0
California,2020-04-19,30333.0,1166,280900,4731.0
California,2020-04-20,30978.0,1208,290500,4674.0
California,2020-04-21,33261.0,1268,300100,4886.0
California,2020-04-22,35396.0,1354,465327,4984.0
California,2020-04-23,37369.0,1469,482097,4929.0
California,2020-04-24,39254.0,1562,494173,4880.0
California,2020-04-25,41137.0,1651,506035,4847.0
California,2020-04-26,42164.0,1710,526084,4928.0
California,2020-04-27,43464.0,1755,553409,4878.0
California,2020-04-28,45031.0,1809,577608,4983.0
California,2020-04-29,46500.0,1887,603139,5011.0
California,2020-04-30,48917.0,1982,625337,4981.0
California,2020-05-01,50442.0,2073,654985,4706.0
California,2020-05-02,52197.0,2171,686803,4722.0
California,2020-05-03,53616.0,2215,715751,4734.0
California,2020-05-04,54937.0,2254,747874,4616.0
California,2020-05-05,56212.0,2317,779902,4622.0
California,2020-05-06,58815.0,2412,809036,4681.0
California,2020-05-07,60614.0,2504,842874,4560.0
California,2020-05-08,62512.0,2585,875272,4514.0
California,2020-05-09,64561.0,2678,912570,4538.0
California,2020-05-10,66680.0,2745,955664,4555.0
California,2020-05-11,67939.0,2770,991897,4549.0
California,2020-05-12,69382.0,2847,1033370,4544.0
California,2020-05-13,71141.0,2934,1065592,4545.0
California,2020-05-14,73164.0,3032,1104651,4655.0
California,2020-05-15,74936.0,3108,1133906,4519.0
California,2020-05-16,76793.0,3204,1179126,4424.0
California,2020-05-17,78839.0,3261,1235243,4291.0
California,2020-05-18,80430.0,3302,1292672,4391.0
California,2020-05-19,81795.0,3334,1339316,4363.0
California,2020-05-20,84057.0,3436,1380120,4681.0
California,2020-05-21,86197.0,3542,1421127,4735.0
California,2020-05-22,88444.0,3630,1466773,4762.0
California,2020-05-23,90631.0,3708,1515306,4342.0
California,2020-05-24,92710.0,3774,1582745,4300.0
California,2020-05-25,94558.0,3795,1644102,4306.0
California,2020-05-26,96733.0,3814,1696396,4404.0
California,2020-05-27,98980.0,3884,1736894,4544.0
California,2020-05-28,101697.0,3973,1790559,4529.0
California,2020-05-29,103886.0,4068,1835478,4414.0
California,2020-05-30,106878.0,4156,1888595,4215.0
California,2020-05-31,110583.0,4213,1944848,4331.0
California,2020-06-01,113006.0,4251,2012583,4258.0
California,2020-06-02,115310.0,4286,2071591,4393.0
California,2020-06-03,117687.0,4361,2131294,4458.0
California,2020-06-04,119807.0,4422,2182671,4455.0
California,2020-06-05,122901.0,4485,2238463,4625.0
California,2020-06-06,126016.0,4559,2308300,4526.0
